sam	newname
4020-BL040126-357wF-806bR	4020_BL040126_02_357wF-806bR
4020-BL040223-357wF-806bR	4020_BL040223_02_357wF-806bR
4020-BL040322-357wF-806bR	4020_BL040322_02_357wF-806bR
4020-BL040419-357wF-806bR	4020_BL040419_02_357wF-806bR
4020-BL040525-357wF-806bR	4020_BL040525_02_357wF-806bR
4020-BL040628-357wF-806bR	4020_BL040628_02_357wF-806bR
4020-BL040719-357wF-806bR	4020_BL040719_02_357wF-806bR
4020-BL040831-357wF-806bR	4020_BL040831_02_357wF-806bR
4020-BL040929-357wF-806bR	4020_BL040929_02_357wF-806bR
4020-BL041019-357wF-806bR	4020_BL041019_02_357wF-806bR
4020-BL041116-357wF-806bR	4020_BL041116_02_357wF-806bR
4020-BL041214-357wF-806bR	4020_BL041214_02_357wF-806bR
4020-BL050120-357wF-806bR	4020_BL050120_02_357wF-806bR
4020-BL050215-357wF-806bR	4020_BL050215_02_357wF-806bR
4020-BL050413-357wF-806bR	4020_BL050413_02_357wF-806bR
4020-BL050510-357wF-806bR	4020_BL050510_02_357wF-806bR
4020-BL050607-357wF-806bR	4020_BL050607_02_357wF-806bR
4020-BL050705-357wF-806bR	4020_BL050705_02_357wF-806bR
4020-BL050803-357wF-806bR	4020_BL050803_02_357wF-806bR
4020-BL050913-357wF-806bR	4020_BL050913_02_357wF-806bR
4020-BL051004-357wF-806bR	4020_BL051004_02_357wF-806bR
4020-BL051108-357wF-806bR	4020_BL051108_02_357wF-806bR
4020-BL051213-357wF-806bR	4020_BL051213_02_357wF-806bR
4020-BL060111-357wF-806bR	4020_BL060111_02_357wF-806bR
4020-BL060207-357wF-806bR	4020_BL060207_02_357wF-806bR
4020-BL060307-357wF-806bR	4020_BL060307_02_357wF-806bR
4020-BL060404-357wF-806bR	4020_BL060404_02_357wF-806bR
4020-BL060516-357wF-806bR	4020_BL060516_02_357wF-806bR
4020-BL060613-357wF-806bR	4020_BL060613_02_357wF-806bR
4020-BL060704-357wF-806bR	4020_BL060705_02_357wF-806bR
4020-BL060801-357wF-806bR	4020_BL060801_02_357wF-806bR
4020-BL060912-357wF-806bR	4020_BL060912_02_357wF-806bR
4020-BL061010-357wF-806bR	4020_BL061009_02_357wF-806bR
4020-BL061107-357wF-806bR	4020_BL061107_02_357wF-806bR
4020-BL061211-357wF-806bR	4020_BL061211_02_357wF-806bR
4020-BL070116-357wF-806bR	4020_BL070116_02_357wF-806bR
4020-BL070220-357wF-806bR	4020_BL070220_02_357wF-806bR
4020-BL070320-357wF-806bR	4020_BL070320_02_357wF-806bR
4020-BL070424-357wF-806bR	4020_BL070424_02_357wF-806bR
4020-BL070515-357wF-806bR	4020_BL070515_02_357wF-806bR
4020-BL070605-357wF-806bR	4020_BL070605_02_357wF-806bR
4020-BL070703-357wF-806bR	4020_BL070703_02_357wF-806bR
4020-BL070801-357wF-806bR	4020_BL070801_02_357wF-806bR
4020-BL070912-357wF-806bR	4020_BL070912_02_357wF-806bR
4020-BL071016-357wF-806bR	4020_BL071016_02_357wF-806bR
4020-BL071113-357wF-806bR	4020_BL071113_02_357wF-806bR
4020-BL071211-357wF-806bR	4020_BL071211_02_357wF-806bR
4020-BL080115-357wF-806bR	4020_BL080115_02_357wF-806bR
4020-BL080212-357wF-806bR	4020_BL080212_02_357wF-806bR
4020-BL080311-357wF-806bR	4020_BL080312_02_357wF-806bR
4020-BL080408-357wF-806bR	4020_BL080408_02_357wF-806bR
4020-BL080507-357wF-806bR	4020_BL080507_02_357wF-806bR
4020-BL080702-357wF-806bR	4020_BL080702_02_357wF-806bR
4020-BL080805-357wF-806bR	4020_BL080805_02_357wF-806bR
4020-BL080902-357wF-806bR	4020_BL080902_02_357wF-806bR
4020-BL081014-357wF-806bR	4020_BL081014_02_357wF-806bR
4020-BL081113-357wF-806bR	4020_BL081113_02_357wF-806bR
4020-BL081211-357wF-806bR	4020_BL081211_02_357wF-806bR
4020-BL090113-357wF-806bR	4020_BL090113_02_357wF-806bR
4020-BL090210-357wF-806bR	4020_BL090210_02_357wF-806bR
4020-BL090317-357wF-806bR	4020_BL090317_02_357wF-806bR
4020-BL090421-357wF-806bR	4020_BL090421_02_357wF-806bR
4020-BL090512-357wF-806bR	4020_BL090512_02_357wF-806bR
4020-BL090609-357wF-806bR	4020_BL090609_02_357wF-806bR
4020-BL090721-357wF-806bR	4020_BL090721_02_357wF-806bR
4020-BL090804-357wF-806bR	4020_BL090804_02_357wF-806bR
4020-BL090915-357wF-806bR	4020_BL090915_02_357wF-806bR
4020-BL091006-357wF-806bR	4020_BL091006_02_357wF-806bR
4020-BL091105-357wF-806bR	4020_BL091105_02_357wF-806bR
4020-BL091222-357wF-806bR	4020_BL091222_02_357wF-806bR
4020-BL100120-357wF-806bR	4020_BL100120_02_357wF-806bR
4020-BL100217-357wF-806bR	4020_BL100217_02_357wF-806bR
4020-BL100322-357wF-806bR	4020_BL100322_02_357wF-806bR
4020-BL100413-357wF-806bR	4020_BL100414_02_357wF-806bR
4020-BL100525-357wF-806bR	4020_BL100525_02_357wF-806bR
4020-BL100622-357wF-806bR	4020_BL100622_02_357wF-806bR
4020-BL100803-357wF-806bR	4020_BL100803_02_357wF-806bR
4020-BL100914-357wF-806bR	4020_BL100914_02_357wF-806bR
4020-BL101019-357wF-806bR	4020_BL101019_02_357wF-806bR
4020-BL101116-357wF-806bR	4020_BL101116_02_357wF-806bR
4020-BL101214-357wF-806bR	4020_BL101214_02_357wF-806bR
4020-BL110112-357wF-806bR	4020_BL110112_02_357wF-806bR
4020-BL110208-357wF-806bR	4020_BL110208_02_357wF-806bR
4020-BL110314-357wF-806bR	4020_BL110314_02_357wF-806bR
4020-BL110412-357wF-806bR	4020_BL110412_02_357wF-806bR
4020-BL110517-357wF-806bR	4020_BL110517_02_357wF-806bR
4020-BL110615-357wF-806bR	4020_BL110615_02_357wF-806bR
4020-BL110704-357wF-806bR	4020_BL110705_02_357wF-806bR
4020-BL110802-357wF-806bR	4020_BL110802_02_357wF-806bR
4020-BL110913-357wF-806bR	4020_BL110913_02_357wF-806bR
4020-BL111010-357wF-806bR	4020_BL111010_02_357wF-806bR
4020-BL111129-357wF-806bR	4020_BL111129_02_357wF-806bR
4020-BL111219-357wF-806bR	4020_BL111219_02_357wF-806bR
4020-BL120110-357wF-806bR	4020_BL120110_02_357wF-806bR
4020-BL120214-357wF-806bR	4020_BL120214_02_357wF-806bR
4020-BL120313-357wF-806bR	4020_BL120313_02_357wF-806bR
4020-BL120411-357wF-806bR	4020_BL120411_02_357wF-806bR
4020-BL120518-357wF-806bR	4020_BL120511_02_357wF-806bR
4020-BL120620-357wF-806bR	4020_BL120620_02_357wF-806bR
4020-BL120703-357wF-806bR	4020_BL120703_02_357wF-806bR
4020-BL120807-357wF-806bR	4020_BL120807_02_357wF-806bR
4020-BL120913-357wF-806bR	4020_BL120913_02_357wF-806bR
4020-BL121009-357wF-806bR	4020_BL121009_02_357wF-806bR
4020-BL121106-357wF-806bR	4020_BL121106_02_357wF-806bR
4020-BL121211-357wF-806bR	4020_BL121211_02_357wF-806bR
4020-BL130115-357wF-806bR	4020_BL130115_02_357wF-806bR
4020-BL130206-357wF-806bR	4020_BL130206_02_357wF-806bR
4020-BL130312-357wF-806bR	4020_BL130312_02_357wF-806bR
4020-BL130417-357wF-806bR	4020_BL130417_02_357wF-806bR
4020-BL130507-357wF-806bR	4020_BL130507_02_357wF-806bR
4020-BL130604-357wF-806bR	4020_BL130604_02_357wF-806bR
4020-BL130709-357wF-806bR	4020_BL130709_02_357wF-806bR
4020-BL130801-357wF-806bR	4020_BL130801_02_357wF-806bR
4020-BL130917-357wF-806bR	4020_BL130917_02_357wF-806bR
4020-BL131015-357wF-806bR	4020_BL131015_02_357wF-806bR
4020-BL131105-357wF-806bR	4020_BL131105_02_357wF-806bR
4020-BL131204-357wF-806bR	4020_BL131215_02_357wF-806bR
4408-BL050309-357wF-806bR	4408_BL050309_02_357wF-806bR
4408-BL080602-357wF-806bR	4408_BL080602_02_357wF-806bR
4408-BL100706-357wF-806bR	4408_BL100706_02_357wF-806bR
5001-BL030304-357wF-806bR	5001_BL030304_02_357wF-806bR
5001-BL030625-357wF-806bR	5001_BL030625_02_357wF-806bR
5001-BL031021-357wF-806bR	5001_BL031021_02_357wF-806bR
5001-BL031125-357wF-806bR	5001_BL031125_02_357wF-806bR
5001-BL1-357wF-806bR	5001_BL030128_02_357wF-806bR
5001-BL2-357wF-806bR	5001_BL030325_02_357wF-806bR
5001-BL3-357wF-806bR	5001_BL030422_02_357wF-806bR
5001-BL4-357wF-806bR	5001_BL030513_02_357wF-806bR
5001-BL5-357wF-806bR	5001_BL030714_02_357wF-806bR
5001-BL6-357wF-806bR	5001_BL030804_02_357wF-806bR
5001-BL7-357wF-806bR	5001_BL030916_02_357wF-806bR
5001-BL8-357wF-806bR	5001_BL031216_02_357wF-806bR
